Age in years at screening,DHEAS (µmol/L),Follicle Stimulating Hormone (mIU/mL),Androstenedione (nmol/L),Anti-Mullerian hormone (pmol/L),Total Cholesterol (mg/dL),Hepatitis A antibody,Red blood cell count (million cells/uL),Segmented neutrophils percent (%),Lymphocyte percent (%),"Testosterone, total (nmol/L)",HS C-Reactive Protein (mg/L),RBC folate (nmol/L),RBC folate (ng/mL),Total Cholesterol (mmol/L),Hemoglobin (g/dL),Fasting Glucose (mg/dL),Fasting Glucose (mmol/L),Glycohemoglobin (%),Progesterone (nmol/L),Insulin (pmol/L),Insulin (uU/mL),Red cell distribution width (%),Blood manganese (nmol/L),Serum total folate (nmol/L),Blood cadmium (nmol/L),Ferritin (ng/mL),17α-hydroxyprogesterone (nmol/L),5-Methyl-tetrahydrofolate (nmol/L),Fasting Subsample 2 Year MEC Weight,Luteinizing Hormone (mIU/mL),Mean platelet volume (fL),Mean cell volume (fL),Mean cell hemoglobin (pg)
60.0,1.55,25.27,1.78,0.5,197.5,2.0,4.67,58.7,30.1,2.395,2.07,1120.0,494.0,5.105,13.9,103.0,5.72,5.6,0.111,50.46,8.41,13.6,160.635,33.6,2.665,,1.11,31.7,40986.051420506905,15.66,8.1,89.9,30.5
61.0,1.6,26.325,1.8050000000000002,0.14,196.5,2.0,4.655,58.75,30.85,1.1400000000000001,2.275,1105.0,488.0,5.08,14.0,102.0,5.66,5.7,0.103,51.84,8.64,13.7,154.35,33.05,2.642,,0.812,31.6,45257.35179304817,15.065000000000001,8.1,88.95,30.1
62.0,1.49,28.24,1.73,0.14,196.0,2.0,4.675,58.55,29.45,1.99,1.66,1220.0,539.0,5.0649999999999995,14.3,104.0,5.77,5.6,0.117,51.239999999999995,8.54,13.5,157.99,39.0,2.5,,1.08,36.5,38932.69754516175,15.88,8.1,89.6,30.4
63.0,1.32,26.47,1.8,0.14,195.0,2.0,4.61,59.1,30.2,1.335,1.84,1160.0,512.0,5.04,14.0,109.0,6.05,5.8,0.107,56.22,9.370000000000001,13.7,149.98,38.6,2.634,,0.885,36.7,49365.128877595336,16.02,8.2,90.2,30.4
64.0,1.385,44.125,1.755,0.14,194.5,2.0,4.64,58.849999999999994,30.0,1.1099999999999999,1.955,1140.0,503.0,5.029999999999999,13.95,104.0,5.77,5.7,0.105,52.98,8.83,13.8,152.9,35.05,2.536,,0.9195,33.3,45374.61457050018,20.97,8.0,89.4,30.3
65.0,1.36,43.29,1.67,0.14,194.5,2.0,4.5649999999999995,57.75,29.55,1.1150000000000002,2.14,1150.0,508.0,5.029999999999999,14.0,105.0,5.83,5.7,0.0868,62.61,10.435,13.8,154.89999999999998,33.3,2.549,,0.773,31.4,47908.0517197123,21.77,8.1,90.3,30.6
66.0,1.21,35.49,1.9,0.14,192.0,2.0,4.57,58.7,29.5,1.33,2.07,1025.0,452.5,4.97,14.1,103.0,5.72,5.6,0.107,57.9,9.65,13.6,163.45,31.8,3.0785,,0.951,29.85,40844.432781826,17.94,7.9,90.85,30.45
67.0,1.38,18.634999999999998,1.9,2.605,184.5,2.0,4.65,59.8,27.8,2.17,2.0549999999999997,1165.0,514.5,4.77,14.1,105.0,5.83,5.65,0.1,53.34,8.89,13.8,158.54,36.849999999999994,2.527,,0.967,35.349999999999994,37443.33557287701,12.54,8.1,89.9,30.5
68.0,1.15,43.13,1.75,0.14,181.0,2.0,4.56,60.8,27.6,1.19,2.18,1140.0,503.0,4.68,13.75,107.0,5.9399999999999995,5.7,0.106,64.83,10.805,13.7,158.54,35.4,2.589,,0.864,32.8,41390.85873263864,19.85,8.0,89.5,30.15
69.0,1.0950000000000002,26.835,1.78,0.14,181.5,2.0,4.65,60.2,28.0,1.52,1.5350000000000001,1230.0,543.0,4.69,14.0,105.0,5.83,5.8,0.105,54.6,9.1,13.8,150.62,41.4,3.3674999999999997,,0.897,40.4,39717.2539336704,14.77,8.1,90.2,30.4
70.0,1.14,34.88,1.69,0.14,182.5,2.0,4.53,60.5,28.6,1.77,1.97,1320.0,583.0,4.720000000000001,13.7,106.0,5.88,5.7,0.107,56.22,9.37,13.8,151.26,43.7,2.749,,0.976,41.8,38605.639094421516,19.34,7.9,90.6,30.7
71.0,1.22,24.119999999999997,1.8849999999999998,2.8200000000000003,182.0,2.0,4.6,63.8,24.8,7.74,1.94,1230.0,543.0,4.71,13.95,108.0,6.0,5.6,0.12,59.4,9.9,13.7,152.53,40.0,2.66,,1.3250000000000002,37.8,38074.9761295988,12.655,8.1,90.9,30.5
72.0,1.0750000000000002,19.689999999999998,1.7,9.175,175.0,2.0,4.63,60.9,27.2,7.369999999999999,1.6,1325.0,585.0,4.53,14.1,106.0,5.88,5.7,0.1005,59.22,9.87,13.8,146.8,41.150000000000006,3.0385,,1.26,39.05,40084.81476449722,10.955,7.8,90.4,30.7
73.0,0.87,27.6,1.685,1.175,175.0,2.0,4.615,61.6,26.6,4.4399999999999995,1.96,1160.0,512.0,4.53,14.0,106.0,5.88,5.7,0.109,65.4,10.899999999999999,13.6,155.72,36.75,2.718,,1.1749999999999998,35.1,44515.84604118429,15.495000000000001,8.0,90.9,30.6
74.0,0.921,34.77,1.71,0.14,185.0,2.0,4.57,62.0,25.9,1.32,1.825,1155.0,510.0,4.78,13.9,107.0,5.94,5.7,0.11549999999999999,55.62,9.27,13.9,160.36,33.0,2.634,,1.06,31.2,43481.346411106795,16.51,8.0,90.5,30.2
75.0,0.902,33.39,1.66,0.14,174.0,2.0,4.58,60.9,26.3,1.74,1.835,1280.0,565.0,4.5,13.7,108.0,6.0,5.7,0.12,51.96,8.66,13.9,164.635,40.35,3.1715,,1.01,37.85,36181.627754144036,14.98,8.1,90.0,30.3
76.0,1.05,36.05,1.66,0.14,183.0,2.0,4.42,61.0,27.1,1.54,1.665,1330.0,587.0,4.73,13.3,104.0,5.77,5.7,0.1125,55.8,9.3,14.0,150.71,46.3,2.954,,1.065,43.85,39829.01611277513,22.75,7.9,90.8,30.3
77.0,0.729,36.805,1.665,0.14,163.5,2.0,4.425000000000001,62.4,26.15,1.315,2.31,1230.0,543.0,4.23,13.350000000000001,109.0,6.05,5.9,0.0919,76.77000000000001,12.795,13.95,141.25,35.8,2.518,,0.9645,31.9,44406.45387921561,19.675,8.1,89.44999999999999,30.1
78.0,0.965,40.16,1.68,0.14,178.0,2.0,4.41,62.2,26.2,1.6,1.6,1340.0,592.0,4.6,13.3,108.0,6.0,5.8,0.0973,60.36,10.06,13.9,157.08,45.7,3.141,,1.05,43.1,39674.49792088685,15.95,8.0,90.2,30.4
79.0,0.7495,36.02,1.62,0.14,174.0,2.0,4.33,64.1,22.9,1.05,1.55,1660.0,733.0,4.5,13.2,109.5,6.08,5.9,0.1,55.980000000000004,9.33,14.2,151.62,63.2,2.625,,0.921,61.1,40670.67838476712,20.21,7.9,91.5,30.7
80.0,0.6385000000000001,41.325,1.47,0.14,164.5,2.0,4.41,61.45,25.2,1.58,1.51,1250.0,552.0,4.255,13.5,105.0,5.83,5.7,0.107,49.86,8.309999999999999,14.05,154.35,43.349999999999994,3.301,,0.9775,40.85,48980.54675886113,19.785,8.2,91.3,30.5
